Net:-2.67718867262, Trade:3.82336187466, Cost:6.50055054728, Avg:-0.0214175093809 Std:0.0441225410049 Trades/Day:49.736, et:1, leb:2, bs:7, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:1, leb:2, bs:8, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:1, leb:2, bs:9, ueb:5,
Net:-2.68474764345, Trade:3.91455975092, Cost:6.59930739437, Avg:-0.0214779811476 Std:0.0441257431602 Trades/Day:52.2, et:2, leb:2, bs:1, ueb:5,
Net:-2.67186486464, Trade:3.8297534931, Cost:6.50161835774, Avg:-0.0213749189171 Std:0.0439951643505 Trades/Day:49.76, et:2, leb:2, bs:2, ueb:5,
Net:-2.6731875443, Trade:3.82750985975, Cost:6.50069740405, Avg:-0.0213855003544 Std:0.0440506982059 Trades/Day:49.736, et:2, leb:2, bs:3, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:2, leb:2, bs:4, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:2, leb:2, bs:5, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:2, leb:2, bs:6, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:2, leb:2, bs:7, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:2, leb:2, bs:8, ueb:5,
Net:-2.67579667334, Trade:3.82336658967, Cost:6.49916326301, Avg:-0.0214063733867 Std:0.0441227196491 Trades/Day:49.72, et:2, leb:2, bs:9, ueb:5,
